job_order_id,product_id,product_name,customer_id,order_date,due_date,priority,quantity,status
JOB-00001,PRD-006,Bearing Cap,CUS-008,2024-03-01,2024-03-15,Standard,2,Completed
JOB-00002,PRD-002,Gear Assembly,CUS-002,2025-06-25,2025-06-28,Critical,7,Completed
JOB-00003,PRD-005,Control Panel Frame,CUS-004,2025-06-02,2025-06-09,Rush,28,Completed
JOB-00004,PRD-002,Gear Assembly,CUS-005,2024-11-21,2024-12-05,Rush,2,Completed
JOB-00005,PRD-002,Gear Assembly,CUS-007,2024-05-23,2024-05-30,Rush,1,Completed
JOB-00006,PRD-005,Control Panel Frame,CUS-003,2025-06-05,2025-06-19,Standard,7,Completed
JOB-00007,PRD-006,Bearing Cap,CUS-002,2025-01-16,2025-01-30,Standard,7,Completed
JOB-00008,PRD-003,Pump Housing,CUS-003,2024-12-16,2024-12-23,Rush,14,Completed
JOB-00009,PRD-008,Sensor Bracket,CUS-006,2024-11-08,2024-11-22,Standard,14,Completed
JOB-00010,PRD-001,Hydraulic Valve Body,CUS-006,2024-02-14,2024-02-28,Standard,28,Completed
JOB-00011,PRD-007,Manifold Block,CUS-006,2024-10-29,2024-11-12,Rush,14,Completed
JOB-00012,PRD-004,Motor Shaft,CUS-008,2025-07-21,2025-07-28,Rush,7,Completed
JOB-00013,PRD-003,Pump Housing,CUS-005,2024-12-18,2025-01-01,Rush,28,Completed
JOB-00014,PRD-007,Manifold Block,CUS-006,2025-07-24,2025-07-27,Critical,2,Completed
JOB-00015,PRD-004,Motor Shaft,CUS-008,2024-07-16,2024-07-19,Critical,1,Completed
JOB-00016,PRD-002,Gear Assembly,CUS-003,2024-06-05,2024-06-12,Rush,1,Completed
JOB-00017,PRD-003,Pump Housing,CUS-002,2025-08-27,2025-09-03,Rush,14,Completed
JOB-00018,PRD-007,Manifold Block,CUS-005,2025-10-31,2025-11-14,Rush,7,Completed
JOB-00019,PRD-001,Hydraulic Valve Body,CUS-005,2024-06-12,2024-06-19,Rush,2,Completed
JOB-00020,PRD-006,Bearing Cap,CUS-003,2025-09-15,2025-09-29,Standard,14,Completed
JOB-00021,PRD-008,Sensor Bracket,CUS-003,2025-01-10,2025-01-24,Standard,2,Completed
JOB-00022,PRD-002,Gear Assembly,CUS-004,2025-03-03,2025-03-10,Rush,14,Completed
JOB-00023,PRD-003,Pump Housing,CUS-001,2024-08-19,2024-09-02,Rush,7,Completed
JOB-00024,PRD-006,Bearing Cap,CUS-006,2024-06-07,2024-06-21,Standard,7,Completed
JOB-00025,PRD-005,Control Panel Frame,CUS-002,2024-12-10,2024-12-24,Standard,7,Completed
JOB-00026,PRD-002,Gear Assembly,CUS-003,2024-04-08,2024-04-15,Rush,14,Completed
JOB-00027,PRD-003,Pump Housing,CUS-005,2024-08-23,2024-08-30,Rush,7,Completed
JOB-00028,PRD-007,Manifold Block,CUS-005,2024-10-14,2024-10-17,Critical,1,Completed
JOB-00029,PRD-007,Manifold Block,CUS-008,2025-06-18,2025-06-21,Critical,2,Completed
JOB-00030,PRD-008,Sensor Bracket,CUS-002,2024-11-18,2024-12-02,Standard,70,Completed
JOB-00031,PRD-006,Bearing Cap,CUS-004,2024-11-25,2024-12-09,Standard,70,Completed
JOB-00032,PRD-001,Hydraulic Valve Body,CUS-004,2024-03-25,2024-04-08,Standard,14,Completed
JOB-00033,PRD-002,Gear Assembly,CUS-002,2025-04-17,2025-04-20,Critical,7,Completed
JOB-00034,PRD-004,Motor Shaft,CUS-004,2025-11-26,2025-12-10,Rush,70,Completed
JOB-00035,PRD-003,Pump Housing,CUS-004,2025-11-07,2025-11-14,Rush,28,Completed
JOB-00036,PRD-008,Sensor Bracket,CUS-002,2024-09-27,2024-10-04,Rush,14,Completed
JOB-00037,PRD-002,Gear Assembly,CUS-007,2025-05-21,2025-06-04,Standard,7,Completed
JOB-00038,PRD-007,Manifold Block,CUS-002,2024-03-18,2024-04-01,Standard,7,Completed
JOB-00039,PRD-001,Hydraulic Valve Body,CUS-002,2025-04-30,2025-05-14,Standard,1,Completed
JOB-00040,PRD-004,Motor Shaft,CUS-003,2025-10-03,2025-10-17,Standard,70,Completed
JOB-00041,PRD-007,Manifold Block,CUS-004,2025-10-23,2025-11-06,Standard,7,Completed
JOB-00042,PRD-002,Gear Assembly,CUS-001,2024-05-20,2024-06-03,Standard,2,Completed
JOB-00043,PRD-001,Hydraulic Valve Body,CUS-003,2024-12-04,2024-12-07,Critical,7,Completed
JOB-00044,PRD-007,Manifold Block,CUS-007,2024-10-31,2024-11-14,Standard,14,Completed
JOB-00045,PRD-001,Hydraulic Valve Body,CUS-007,2024-01-03,2024-01-17,Standard,2,Completed
JOB-00046,PRD-005,Control Panel Frame,CUS-005,2025-10-13,2025-10-16,Critical,28,Completed
JOB-00047,PRD-007,Manifold Block,CUS-003,2025-11-27,2025-12-04,Rush,28,Completed
JOB-00048,PRD-004,Motor Shaft,CUS-001,2024-03-22,2024-04-05,Standard,14,Completed
JOB-00049,PRD-006,Bearing Cap,CUS-003,2025-11-13,2025-11-27,Standard,7,Completed
JOB-00050,PRD-001,Hydraulic Valve Body,CUS-003,2024-04-24,2024-04-27,Critical,14,Completed
