downtime_id,machine_id,date,downtime_category,duration_hours,downtime_cost,shift_affected,was_scheduled,impact_description
DT-000001,MCH-001,2025-07-23,Planned Maintenance,1.67,42.48,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000002,MCH-001,2025-09-29,Planned Maintenance,1.56,39.81,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000003,MCH-001,2024-08-22,Planned Maintenance,1.34,34.09,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000004,MCH-001,2025-03-06,Planned Maintenance,0.99,25.35,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000005,MCH-001,2024-10-28,Planned Maintenance,2.04,51.94,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000006,MCH-001,2025-04-17,Planned Maintenance,1.62,41.23,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000007,MCH-001,2025-12-02,Planned Maintenance,1.75,44.62,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000008,MCH-001,2025-12-05,Planned Maintenance,1.36,34.63,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000009,MCH-001,2025-05-13,Planned Maintenance,0.92,23.39,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000010,MCH-001,2025-03-24,Planned Maintenance,1.15,29.27,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000011,MCH-001,2024-08-22,Planned Maintenance,1.34,34.09,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000012,MCH-001,2024-12-11,Planned Maintenance,1.95,49.62,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000013,MCH-001,2025-07-21,Planned Maintenance,1.66,42.31,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000014,MCH-001,2025-04-24,Planned Maintenance,1.49,38.02,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000015,MCH-001,2025-05-23,Planned Maintenance,1.0,25.52,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000016,MCH-001,2025-11-28,Planned Maintenance,1.34,34.27,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000017,MCH-001,2024-12-26,Planned Maintenance,1.07,27.31,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000018,MCH-001,2024-10-08,Planned Maintenance,1.44,36.77,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000019,MCH-001,2025-01-06,Planned Maintenance,1.32,33.56,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000020,MCH-001,2025-05-19,Planned Maintenance,1.64,41.94,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000021,MCH-001,2025-08-28,Planned Maintenance,1.53,39.09,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000022,MCH-001,2024-08-06,Planned Maintenance,0.6,15.18,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000023,MCH-001,2024-09-12,Planned Maintenance,1.33,33.92,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000024,MCH-001,2025-12-17,Planned Maintenance,2.09,53.38,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000025,MCH-001,2025-03-27,Planned Maintenance,1.8,45.87,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000026,MCH-001,2025-01-16,Planned Maintenance,0.92,23.39,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000027,MCH-001,2024-09-23,Planned Maintenance,0.76,19.28,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000028,MCH-001,2025-02-26,Planned Maintenance,1.5,38.2,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000029,MCH-001,2024-05-10,Planned Maintenance,2.22,56.58,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000030,MCH-001,2024-10-09,Planned Maintenance,1.64,41.94,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000031,MCH-001,2025-01-08,Planned Maintenance,1.66,42.31,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
